                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.52333,                0.61333,                0.51538,                0.85989,                0.98708,                0.99048,                0.98265,                0.87511,                0.98708,                0.99048,                0.98265,                0.86458,                0.47216,                0.66572,                0.46859,                0.82684,              0.0010894,              0.0010894,              0.0010894
                     37,                0.49443,                  0.568,                0.48088,                0.84358,                0.98698,                0.99107,                0.98232,                0.88116,                0.98698,                0.99107,                0.98232,                0.86325,                0.46616,                0.65677,                0.44905,                0.82604,              0.0010729,              0.0010729,              0.0010729
                     38,                0.48648,                0.56802,                0.48637,                0.84631,                0.98801,                0.99107,                0.98249,                0.87949,                0.98801,                0.99107,                0.98249,                0.86373,                0.47241,                0.66448,                0.44524,                0.82765,              0.0010564,              0.0010564,              0.0010564
                     39,                0.53117,                 0.6044,                0.51505,                0.86303,                0.98731,                0.99107,                0.98356,                0.88507,                0.98731,                0.99107,                0.98356,                0.85638,                0.46355,                0.65015,                0.44333,                0.82445,              0.0010399,              0.0010399,              0.0010399
                     40,                0.51192,                0.59174,                0.50437,                 0.8571,                0.98474,                0.99107,                 0.9843,                0.89314,                0.98474,                0.99107,                 0.9843,                 0.8747,                0.46151,                 0.5922,                0.45084,                0.82568,              0.0010234,              0.0010234,              0.0010234
                     41,                0.51396,                0.58738,                 0.5127,                0.86043,                0.98109,                0.99107,                0.98607,                0.88969,                0.98109,                0.99107,                0.98607,                0.88255,                0.47871,                0.57134,                0.47822,                0.83061,              0.0010069,              0.0010069,              0.0010069
                     42,                 0.5074,                0.59703,                0.49143,                0.84183,                0.98104,                0.99107,                0.98667,                0.89338,                0.98104,                0.99107,                0.98628,                0.88653,                0.45897,                0.57761,                0.45913,                0.82407,             0.00099036,             0.00099036,             0.00099036
                     43,                0.45707,                0.52643,                0.45558,                0.83376,                0.98599,                0.99107,                0.98685,                0.89513,                0.98599,                0.99107,                0.98653,                0.88442,                0.44575,                0.60073,                0.42079,                0.82287,             0.00097386,             0.00097386,             0.00097386
                     44,                0.54846,                0.59239,                 0.4959,                0.84545,                0.98121,                0.99107,                0.98138,                0.88559,                0.98121,                0.99107,                0.98138,                0.87049,                0.44822,                0.66994,                0.43472,                0.82525,             0.00095736,             0.00095736,             0.00095736
                     45,                0.48438,                0.59341,                0.47054,                0.84819,                0.98034,                0.99107,                0.98057,                0.88535,                0.98034,                0.99107,                0.98057,                0.88182,                0.45249,                0.61141,                0.43399,                0.82425,             0.00094085,             0.00094085,             0.00094085
                     46,                0.46431,                0.57155,                0.46363,                0.85252,                0.98582,                0.99107,                 0.9799,                0.89536,                0.98582,                0.99107,                 0.9799,                0.87436,                0.44219,                0.61987,                0.42485,                0.82594,             0.00092435,             0.00092435,             0.00092435
                     47,                0.48388,                 0.5938,                0.46401,                0.84394,                0.98748,                0.99107,                 0.9799,                0.89382,                0.98748,                0.99107,                 0.9799,                0.87319,                0.43066,                0.62055,                 0.4178,                0.82563,             0.00090785,             0.00090785,             0.00090785
                     48,                0.47056,                0.56997,                0.45855,                0.83841,                0.98855,                0.99107,                0.98024,                0.88239,                0.98855,                0.99107,                0.98024,                0.87405,                 0.4465,                0.62257,                0.42229,                0.82742,             0.00089134,             0.00089134,             0.00089134
